Tabela_CEST|ITEM|CEST|NCM/SH|DESCRICAO|Legislacao|Vigencia_inicial|Vigencia_final|Aliq_Interna|MVA_Original|MVA_Original_S/Fid|MVA_S/Fid_Aliq_4%|MVA_S/Fid_Aliq_7%|MVA_S/Fid_Aliq_12%|MVA_Original_C/Fid|MVA_C/Fid_Aliq_4%|MVA_C/Fid_Aliq_7%|MVA_C/Fid_Aliq_12%|Funcep|Pauta_Fiscal|MVA_Aliq_4%|MVA_Aliq_7%|MVA_Aliq_12%|Funcep_Bebidas_Gaseificada|MVA_Original_deriv_Petr|MVA_deriv_Petr_Aliq_4%|MVA_deriv_Petr_Aliq_7%|MVA_deriv_Petr_Aliq_12%|MVA_Original_N_deriv_Petr|MVA_N_deriv_Petr_Aliq_4%|MVA_N_deriv_Petr_Aliq_7%|MVA_N_deriv_Petr_Aliq_12%|MVA_Original_Outros_Prod|MVA_Outros_Prod_Aliq_4%|MVA_Outros_Prod_Aliq_7%|MVA_Outros_Prod_Aliq_12%|Funcep_Consumo_maior_100Kw/h|Lista|UF_Signataria|Exterior_UF_nao_Signat.|Ato_Cotepe|Origem_Arquivo|Nome_Aba_Planilha
01|8.0|01.008.00|40161010|Partes de veículos automóveis, tratores e máquinas autopropulsadas|DECRETO ICMS/PB Nº 39.158|2019-05-07 00:00:00||0.18|0.00|0.7178|1.011082926829268|0.9482365853658534|0.843492682926829|0.3656|0.5987512195121949|0.5487902439024386|0.4655219512195119|0.00||0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|||||Anexo_5_Autopeças (1).xlsx|AutoPecas
01|9.0|01.009.00|40169990|Tapetes, revestimentos, mesmo confeccionados, batentes, buchas e coxins|DECRETO ICMS/PB Nº 39.158|2019-05-07 00:00:00||0.18|0.00|0.7178|1.011082926829268|0.9482365853658534|0.843492682926829|0.3656|0.5987512195121949|0.5487902439024386|0.4655219512195119|0.00||0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|||||Anexo_5_Autopeças (1).xlsx|AutoPecas
01|9.0|01.009.00|57050000|Tapetes, revestimentos, mesmo confeccionados, batentes, buchas e coxins|DECRETO ICMS/PB Nº 39.158|2019-05-07 00:00:00||0.18|0.00|0.7178|1.011082926829268|0.9482365853658534|0.843492682926829|0.3656|0.5987512195121949|0.5487902439024386|0.4655219512195119|0.00||0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|||||Anexo_5_Autopeças (1).xlsx|AutoPecas
01|10.0|01.010.00|59039000|Tecidos impregnados, revestidos, recobertos ou estratificados, com plástico|DECRETO ICMS/PB Nº 39.158|2019-05-07 00:00:00||0.18|0.00|0.7178|1.011082926829268|0.9482365853658534|0.843492682926829|0.3656|0.5987512195121949|0.5487902439024386|0.4655219512195119|0.00||0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|||||Anexo_5_Autopeças (1).xlsx|AutoPecas
01|11.0|01.011.00|59090000|Mangueiras e tubos semelhantes, de matérias têxteis, mesmo com reforço ou acessórios de outras matérias|DECRETO ICMS/PB Nº 39.158|2019-05-07 00:00:00||0.18|0.00|0.7178|1.011082926829268|0.9482365853658534|0.843492682926829|0.3656|0.5987512195121949|0.5487902439024386|0.4655219512195119|0.00||0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|||||Anexo_5_Autopeças (1).xlsx|AutoPecas
01|12.0|01.012.00|63061|Encerados e toldos|DECRETO ICMS/PB Nº 39.158|2019-05-07 00:00:00||0.18|0.00|0.7178|1.011082926829268|0.9482365853658534|0.843492682926829|0.3656|0.5987512195121949|0.5487902439024386|0.4655219512195119|0.00||0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|||||Anexo_5_Autopeças (1).xlsx|AutoPecas
01|13.0|01.013.00|65061000|Capacetes e artefatos de uso semelhante, de proteção, para uso em motocicletas, incluídos ciclomotores|DECRETO ICMS/PB Nº 39.158|2019-05-07 00:00:00||0.18|0.00|0.7178|1.011082926829268|0.9482365853658534|0.843492682926829|0.3656|0.5987512195121949|0.5487902439024386|0.4655219512195119|0.00||0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|||||Anexo_5_Autopeças (1).xlsx|AutoPecas
01|14.0|01.014.00|6813|Guarnições de fricção (por exemplo, placas, rolos, tiras, segmentos, discos, anéis, pastilhas), não montadas, para freios, embreagens ou qualquer outro mecanismo de fricção, à base de amianto, de outras substâncias minerais ou de celulose, mesmo combinadas com têxteis ou outras matérias|DECRETO ICMS/PB Nº 39.158|2019-05-07 00:00:00||0.18|0.00|0.7178|1.011082926829268|0.9482365853658534|0.843492682926829|0.3656|0.5987512195121949|0.5487902439024386|0.4655219512195119|0.00||0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|||||Anexo_5_Autopeças (1).xlsx|AutoPecas
01|15.0|01.015.00|70071100|Vidros de dimensões e formatos que permitam aplicação automotiva|DECRETO ICMS/PB Nº 39.158|2019-05-07 00:00:00||0.18|0.00|0.7178|1.011082926829268|0.9482365853658534|0.843492682926829|0.3656|0.5987512195121949|0.5487902439024386|0.4655219512195119|0.00||0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|||||Anexo_5_Autopeças (1).xlsx|AutoPecas
01|15.0|01.015.00|70072100|Vidros de dimensões e formatos que permitam aplicação automotiva|DECRETO ICMS/PB Nº 39.158|2019-05-07 00:00:00||0.18|0.00|0.7178|1.011082926829268|0.9482365853658534|0.843492682926829|0.3656|0.5987512195121949|0.5487902439024386|0.4655219512195119|0.00||0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|||||Anexo_5_Autopeças (1).xlsx|AutoPecas
01|16.0|01.016.00|70091000|Espelhos retrovisores|DECRETO ICMS/PB Nº 39.158|2019-05-07 00:00:00||0.18|0.00|0.7178|1.011082926829268|0.9482365853658534|0.843492682926829|0.3656|0.5987512195121949|0.5487902439024386|0.4655219512195119|0.00||0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|||||Anexo_5_Autopeças (1).xlsx|AutoPecas
01|17.0|01.017.00|70140000|Lentes de faróis, lanternas e outros utensílios|DECRETO ICMS/PB Nº 39.158|2019-05-07 00:00:00||0.18|0.00|0.7178|1.011082926829268|0.9482365853658534|0.843492682926829|0.3656|0.5987512195121949|0.5487902439024386|0.4655219512195119|0.00||0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|||||Anexo_5_Autopeças (1).xlsx|AutoPecas
01|18.0|01.018.00|73110000|Cilindro de aço para GNV (gás natural veicular)|DECRETO ICMS/PB Nº 39.158|2019-05-07 00:00:00||0.18|0.00|0.7178|1.011082926829268|0.9482365853658534|0.843492682926829|0.3656|0.5987512195121949|0.5487902439024386|0.4655219512195119|0.00||0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|||||Anexo_5_Autopeças (1).xlsx|AutoPecas
